,zhvi,median_income,violent_crime_rate
count,58.0,58.0,58.0
mean,623397.0979106653,89387.0,4.069364600251244
std,347192.2881749243,25996.76893283795,1.6434401002932655
min,191780.9642884009,53002.0,1.80281567029233
25%,372709.7669702786,68172.0,2.7064674457690376
50%,501842.24579003925,83473.0,3.83636186704037
75%,791584.1342030219,105309.25,5.168589188433938
max,1679213.2950547617,164281.0,8.5913393447125
